,item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
0,810,AB2,TiCrMn,2.1,19.6,40,313.15,190.0,"Beeri, 2000",1269.0,,at T=-60C,
1,1509,Complex,NaAlH4,7.5,12.8,210,483.15,153.0,"Dymova, 1975",720.0,[AlH4]-,Stoichiometric H-content,
2,993,AB5,CeNi5,1.5,22.2,23,296.15,80.0,"Klyamkin, 1995",407.0,,,
3,975,AB5,Ce0.8La0.2Ni5,1.5,20.8,60,333.15,74.0,"Salamova, 2002",1509.0,,,
4,1504,Complex,NaAlH4,4.7,37.0,150,423.15,61.0,"Bogdanovic’, 2000",1431.0,[AlH4]-,Measured H-content,Ti-doped
5,121,A2B,Mg2Ni,3.7,62.2,450,723.15,57.0,"Reiser, 2000",1463.0,,,
8,1453,Complex,Mg2Ni,3.7,62.2,450,723.15,57.0,"Reiser, 2000",1463.0,,,
11,1968,Mg,Mg2Ni,3.7,62.2,450,723.15,57.0,"Reiser, 2000",1463.0,,,
14,992,AB5,CeNi5,1.4,14.2,25,298.15,50.0,"Lundin, 1977",149.0,,,
15,2652,SS,V.855Cr.145,2.3,29.7,50,323.15,50.0,"Lynch, 1978",84.0,,,
16,799,AB2,TiCr1.8 (M),2.43,20.2,-20,253.15,40.0,"Johnson, 1978",335.0,,,
17,803,AB2,TiCr2,0.8,23.0,20,293.15,40.0,"Machida, 1978",371.0,,,
18,967,AB5,Ce.8La.2Ni5,1.5,23.8,23,296.15,30.0,"Klyamkin, 1995",407.0,,,
19,213,AB,TiFe.9Mn.1,1.2,27.2,100,373.15,30.0,"Someno, 1979",381.0,,,
20,961,AB5,Ce.6La.4Ni5,1.5,22.3,25,298.15,28.0,"Dayan, 1981",382.0,,,
21,1411,AB5,YCo5,0.73,32.2,31,304.15,28.0,"Takeshita, 1974",101.0,,,
22,1450,Complex,Mg2FeH6,5.5,79.2,450,723.15,28.0,"Reiser, 1998",1159.0,[FeH6]4-,,
24,1949,Mg,Mg2Fe,5.5,79.2,450,723.15,28.0,"Reiser, 1998",1159.0,(Mg2Fe phase not stable without H),,
26,1390,AB5,PrNi2.5Cu2.5,0.8,19.3,23,296.15,25.0,"Pourarian, 1986",254.0,(+ Cu1),,
27,1001,AB5,ErNi4.5Al.5,0.8,25.4,0,273.15,25.0,"Sorgic, 1996",591.0,,,
29,2575,SS,Pd.75Rh.25,0.8,25.4,0,273.15,5.0,"Noh, 1993",867.0,,,
31,1884,Mg,Mg.833Ni.066Cu.095M1.006 (M),4.9,68.0,357,630.15,25.0,"Au, 1995",711.0,(M1=La-rich Mm),,
32,106,A2B,Mg2Fe,5.5,77.2,450,723.15,25.0,"Reiser, 2000",1463.0,Mg2Fe not stable without H,,
35,1446,Complex,Mg2Fe,5.5,77.2,450,723.15,25.0,"Reiser, 2000",1463.0,Mg2Fe not stable without H,,
38,1950,Mg,Mg2Fe,5.5,77.2,450,723.15,25.0,"Reiser, 2000",1463.0,Mg2Fe not stable without H,,
41,779,AB2,Ti0.9Zr.1MnCr.9V.1,1.7,22.5,30,303.15,24.0,"Liu, 1996",690.0,,,
42,1355,AB5,MmNi5,1.46,21.1,25,298.15,23.0,"Reilly, 1977",281.0,,,
43,1010,AB5,HoNi4.5Al.5,0.9,24.1,0,273.15,22.0,"Sorgic, 1996",635.0,,,
44,1487,Complex,Na3AlH6,5.9,64.0,210,483.15,21.4,"Dymova, 1975",720.0,[AlH6]3-,Stoichiometric H-content,
45,1189,AB5,MmNi5,1.44,26.4,30,303.15,20.5,"Osumi, 1979",119.0,,,
46,1187,AB5,MmNi5,1.37,14.2,25,298.15,20.0,"Lundin, 1977",149.0,,,
47,798,AB2,TiCr1.8,1.9,19.7,-32,241.15,20.0,"Beeri, 1999",1258.0,,,
48,1377,AB5,NdNi5,1.27,21.6,20,293.15,20.0,"Uchida, 1982",131.0,,,
49,1415,AB5,YNi4.5Al.5,1.1,22.4,20,293.15,20.0,"Sorgic, 1998",812.0,,,
50,760,AB2,Ti.98Zr.02V.43Fe.09Cr.05Mn1.5,1.6,23.3,20,293.15,20.0,"Hahne, 1998",850.0,,,
51,833,AB2,TiMn2,1.7,24.6,0,273.15,20.0,"Klyamkin, 1994",688.0,,,
52,1393,AB5,PrNi5 (M),1.4,26.4,20,293.15,20.0,"Uchida, 1982",131.0,,,
53,997,AB5,DyNi4.5Al.5,1.0,27.3,20,293.15,20.0,"Sorgic, 1996",635.0,,,
54,210,AB,TiFe.9Cr.1,1.1,30.5,150,423.15,20.0,"Someno, 1979",381.0,,,
55,781,AB2,Ti1.2Cr1.9Mn.1,1.8,20.1,-10,263.15,19.4,"Osumi, 1983",40.0,,,
56,966,AB5,Ce.8La.2Ni4.7Cu0.3,1.5,21.0,23,296.15,18.0,"Klyamkin, 1995",407.0,,,
57,1379,AB5,NdNi5 (M),1.33,27.8,30,303.15,18.0,"Gruen, 1977",168.0,,,
58,1223,AB5,La0.4Pr0.6Co5 (M),0.9,29.0,20,293.15,17.0,"Burnasheva, 1978",1517.0,,,Upper plateau
59,1375,AB5,NdNi5,0.9,27.9,20,293.15,16.0,"Takaguchi, 2000",1196.0,,,
60,1349,AB5,Mm.9Ti.1Ni5,1.3,31.0,30,303.15,16.0,"Osumi, 1978",117.0,(+ Ti.25 & Ti.5),,
61,102,A2B,Mg2Co,4.5,76.0,450,723.15,16.0,"Reiser, 2000",1463.0,Mg2Co not stable without H,,
64,1444,Complex,Mg2Co,4.5,76.0,450,723.15,16.0,"Reiser, 2000",1463.0,Mg2Co not stable without H,,
67,1853,Mg,Mg2Co,4.5,76.0,450,723.15,16.0,"Reiser, 2000",1463.0,Mg2Co not stable without H,,
70,150,AB,Ti.9Fe.9B.2,1.5,7.6,27,300.15,14.0,"Rajalakshmi, 1998",852.0,,,
71,1081,AB5,LaNi4.95Sn.05,1.3,32.0,100,373.15,14.0,"Luo, 1998",815.0,,,
72,1185,AB5,MmNi5,1.4,23.7,23,296.15,13.5,"Verbetsky, 1996",634.0,,,
73,1383,AB5,PrCo5,0.7,34.3,100,373.15,13.5,"Clinton, 1975",102.0,,,
74,1347,AB5,Mm.8Ca.2Ni5,1.6,24.2,25,298.15,13.0,"Sandrock, 1977",106.0,,,
75,1378,AB5,NdNi5,1.36,26.3,23,296.15,13.0,"Anderso, 1973",99.0,,,
76,442,AB2,Ti.8Zr.2Mn.8Cr1.0Fe.2,1.8,28.0,20,293.15,12.0,"Gamo, 1979",35.0,,,
77,1052,AB5,LaNi4.6Si0.4,1.0,34.2,100,373.15,12.0,"Luo, 2002",1514.0,,,
78,188,AB,TiFe.5Co.5,1.1,41.4,150,423.15,12.0,"Someno, 1979",381.0,,,
79,1137,AB5,MmNi4.15Fe.85,1.14,25.3,25,298.15,11.2,"Huston, 1980",77.0,,,
80,974,AB5,Ce0.7La0.7Ni5,1.4,25.0,20,293.15,11.0,"Mordkovich, 1993",1525.0,,,
81,448,AB2,Ti.8Zr.2Mn1.5Fe.5,1.7,25.4,30,303.15,11.0,"Hong, 1993",373.0,,,
82,186,AB,TiFe (M),1.7,26.7,51,324.15,11.0,"Yamanaka, 1975",73.0,,,
83,1945,Mg,Mg2CuAl.125 (M),2.8,63.0,330,603.15,11.0,"Biris, 1982",716.0,,,
84,1845,Mg,Mg2Al3 (M),2.6,63.2,335,608.15,11.0,"Mintz, 1980",698.0,,,
85,566,AB2,ZrCrFeCo.8,1.1,20.0,0,273.15,10.0,"Wallace, 1985",1168.0,,,sloping plateau
86,1401,AB5,TbNi4.5Al.5,1.1,26.9,20,293.15,10.0,"Sorgic, 1996",635.0,,,
87,446,AB2,Ti.8Zr.2Mn1.5Cr.5,2.0,27.5,30,303.15,10.0,"Hong, 1993",373.0,,,
88,1374,AB5,NdNi4.9Sn.1,1.2,27.9,20,293.15,10.0,"Takaguchi, 2000",1196.0,,,
