item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
2570,SS,Ni.943Fe.057,1.4,,25,298.15,5500,"Filipek, 1981",478,,,
2571,SS,Ni.979Fe.021,1.6,,25,298.15,4000,"Filipek, 1981",478,,,
2569,SS,Ni.8Cu.2,,5.1,25,298.15,3800,"Baranowski, 1985",546,,,
66,A2B,Hf2Cu (M),1.5,,20,293.15,1500,"Klyamkin, 1994",595,,(2000 atm at 20°C),
72,A2B,Hf2Fe,1.2,,22,295.15,1500,"Klyamkin, 1997",655,,2000 atm at 22°C,
1321,AB5,LaPt5 (M),0.36,,21,294.15,1050,"Takeshita, 1981",128,,,
83,A2B,Hf2Pd (M),1,,20,293.15,1000,"Klyamkin, 1994",595,,(2000 atm at 20°C),
1419,AB5,YNi5 (M),0.91,,21,294.15,1000,"Takeshita, 1981",128,,,
50,A2B,Zr2Pd (M),1.9,,20,293.15,500,"Klyamkin, 1994",595,,(2000 atm at 20°C),
810,AB2,TiCrMn,2.1,19.6,40,313.15,190,"Beeri, 2000",1269,,at T=-60C,
1509,Complex,NaAlH4,7.5,12.8,210,483.15,153,"Dymova, 1975",720,[AlH4]-,Stoichiometric H-content,
1502,Complex,NaAlH4,4.2,,180,453.15,135,"Bogdanovic’, 1997",1422,[AlH4]-,Measured H-contents,Various dopants
1508,Complex,NaAlH4,7.5,,180,453.15,135,"Bogdanovic', 1997",719,[AlH4]-,Stoichiometric H-content,Ti-catalyzed
1007,AB5,GdNi5,0.6,,23,296.15,120,"Anderso, 1973",99,,,
1410,AB5,YbNi5,0.62,,23,296.15,120,"Anderso, 1973",99,,,
993,AB5,CeNi5,1.5,22.2,23,296.15,80,"Klyamkin, 1995",407,,,
975,AB5,Ce0.8La0.2Ni5,1.5,20.8,60,333.15,74,"Salamova, 2002",1509,,,
797,AB2,TiCr1.8,,19,0,273.15,70,"Andreev, 1984",684,,,
464,AB2,Ti.95Zr.05Cr1.2Mn.6Co.2,1.8,,20,293.15,65,"Hagstrom, 1999",1191,,,
1504,Complex,NaAlH4,4.7,37,150,423.15,61,"Bogdanovic’, 2000",1431,[AlH4]-,Measured H-content,Ti-doped
763,AB2,Ti.9Zr.1Mn1.4Cr.45Fe.15,2.2,,20,293.15,60,"Verbetsky, 1998",1219,,at -78C,
121,A2B,Mg2Ni,3.7,62.2,450,723.15,57,"Reiser, 2000",1463,,,
1453,Complex,Mg2Ni,3.7,62.2,450,723.15,57,"Reiser, 2000",1463,,,
1968,Mg,Mg2Ni,3.7,62.2,450,723.15,57,"Reiser, 2000",1463,,,
1503,Complex,NaAlH4,4.5,,150,423.15,55,"Zaluska, 2000",1430,[AlH4]-,Measured H-content,Ball milled with C
992,AB5,CeNi5,1.4,14.2,25,298.15,50,"Lundin, 1977",149,,,
2652,SS,V.855Cr.145,2.3,29.7,50,323.15,50,"Lynch, 1978",84,,,
485,AB2,UNiAl (M),0.7,,127,400.15,50,"Yamamoto, 1998",1241,,,
2222,MIC,Pr2.5Mg.5Ni,2.4,,30,303.15,50,"Au, 1994",599,,,
1403,AB5,ThCo5,0.6,,21,294.15,48,"van Mal, 1976",103,,,
750,AB2,Ti.95Zr.05Cr1.2Mn.8,1.8,,20,293.15,45,"Hagstrom, 1999",1191,,,
799,AB2,TiCr1.8 (M),2.43,20.2,-20,253.15,40,"Johnson, 1978",335,,,
803,AB2,TiCr2,0.8,23,20,293.15,40,"Machida, 1978",371,,,
820,AB2,TiMn1.45Cr.5,1.9,,25,298.15,38,"Bobet, 2000",1284,,,
465,AB2,Ti.95Zr.05Cr1.2Mn.75V.05,1.8,,20,293.15,36,"Hagstrom, 1999",1191,,,
754,AB2,Ti.95Zr.05Mn1.45Ni.5,1.9,,25,298.15,36,"Bobet, 2000",1239,,,
